matematica,fund_computacao,tec_computacao,linha_de_pesquisa
6.0,21.0,7.0,Outras
5.0,10.0,9.0,Engenharia de Software e Interação
11.0,21.0,11.0,Inteligência Artificial e Ciência de Dados
10.0,15.0,7.0,Outras
7.0,13.0,7.0,Inteligência Artificial e Ciência de Dados
8.0,11.0,4.0,Engenharia de Software e Interação
6.0,10.0,5.0,Sistemas de Computação
10.0,17.0,8.0,Engenharia de Software e Interação
9.0,15.0,8.0,Inteligência Artificial e Ciência de Dados
8.0,18.0,6.0,Inteligência Artificial e Ciência de Dados
11.0,9.0,8.0,Engenharia de Software e Interação
5.0,12.0,6.0,Engenharia de Software e Interação
12.0,18.0,6.0,Inteligência Artificial e Ciência de Dados
9.0,11.0,5.0,Engenharia de Software e Interação
5.0,7.0,5.0,Inteligência Artificial e Ciência de Dados
6.0,12.0,6.0,Outras
14.0,23.0,10.0,Engenharia de Software e Interação
9.0,11.0,7.0,Sistemas de Computação
11.0,19.0,14.0,Engenharia de Software e Interação
9.0,9.0,6.0,Engenharia de Software e Interação
8.0,11.0,6.0,Outras
5.0,14.0,7.0,Inteligência Artificial e Ciência de Dados
8.0,9.0,3.0,Engenharia de Software e Interação
11.0,13.0,9.0,Sistemas de Computação
17.0,18.0,8.0,Inteligência Artificial e Ciência de Dados
5.0,14.0,6.0,Inteligência Artificial e Ciência de Dados
14.0,19.0,12.0,Engenharia de Software e Interação
4.0,10.0,4.0,Sistemas de Computação
9.0,12.0,5.0,Engenharia de Software e Interação
9.0,14.0,6.0,Inteligência Artificial e Ciência de Dados
11.0,14.0,7.0,Sistemas de Computação
11.0,14.0,5.0,Engenharia de Software e Interação
5.0,13.0,8.0,Engenharia de Software e Interação
10.0,19.0,12.0,Engenharia de Software e Interação
11.0,16.0,6.0,Sistemas de Computação
3.0,12.0,7.0,Outras
4.0,15.0,1.0,Sistemas de Computação
5.0,15.0,4.0,Inteligência Artificial e Ciência de Dados
3.0,9.0,4.0,Engenharia de Software e Interação
11.0,19.0,9.0,Engenharia de Software e Interação
4.0,13.0,7.0,Engenharia de Software e Interação
7.0,14.0,8.0,Sistemas de Computação
13.0,16.0,10.0,Outras
11.0,20.0,14.0,Inteligência Artificial e Ciência de Dados
7.0,11.0,5.0,Engenharia de Software e Interação
9.0,11.0,6.0,Outras
10.0,22.0,11.0,Inteligência Artificial e Ciência de Dados
7.0,11.0,4.0,Engenharia de Software e Interação
6.0,13.0,7.0,Inteligência Artificial e Ciência de Dados
10.0,13.0,5.0,Engenharia de Software e Interação
9.0,15.0,5.0,Engenharia de Software e Interação
10.0,17.0,13.0,Inteligência Artificial e Ciência de Dados
8.0,11.0,2.0,Engenharia de Software e Interação
8.0,14.0,11.0,Inteligência Artificial e Ciência de Dados
7.0,11.0,6.0,Engenharia de Software e Interação
3.0,11.0,5.0,Inteligência Artificial e Ciência de Dados
14.0,18.0,11.0,Inteligência Artificial e Ciência de Dados
8.0,12.0,5.0,Sistemas de Computação
9.0,17.0,4.0,Engenharia de Software e Interação
6.0,15.0,2.0,Engenharia de Software e Interação
5.0,13.0,5.0,Engenharia de Software e Interação
13.0,16.0,11.0,Inteligência Artificial e Ciência de Dados
10.0,13.0,6.0,Engenharia de Software e Interação
8.0,14.0,7.0,Sistemas de Computação
13.0,12.0,5.0,Sistemas de Computação
6.0,9.0,5.0,Inteligência Artificial e Ciência de Dados
11.0,20.0,8.0,Sistemas de Computação
8.0,14.0,9.0,Engenharia de Software e Interação
11.0,18.0,11.0,Engenharia de Software e Interação
9.0,13.0,8.0,Engenharia de Software e Interação
14.0,16.0,9.0,Inteligência Artificial e Ciência de Dados
9.0,12.0,9.0,Inteligência Artificial e Ciência de Dados
13.0,18.0,12.0,Outras
8.0,12.0,8.0,Sistemas de Computação
13.0,18.0,8.0,Outras
